Factor,Subject,Options,AvgMarksFail,StudentPercentFail,,AvgMarksTop,StudentPercentTop,,
Distance,Reading,More than 5 Km,21.89,7.80%,,87.70,10.64%,,
Distance,Reading,3-5 Km,21.78,8.22%,,86.99,9.23%,,
Distance,Reading,1-3 Km,21.40,21.86%,,87.35,23.46%,,
Distance,Reading,Upto 1 Km,21.59,62.12%,,87.24,56.67%,,
,,,,,,,,,
Distance,Maths,More than 5 Km,23.17,8.31%,,87.57,4.54%,,
Distance,Maths,3-5 Km,23.35,8.63%,,86.64,5.39%,,
Distance,Maths,1-3 Km,23.26,22.14%,,87.06,19.57%,,
Distance,Maths,Upto 1 Km,23.05,60.92%,,86.89,70.50%,,
,,,,,,,,,
Distance,Social,More than 5 Km,24.98,7.93%,,84.68,7.04%,,
Distance,Social,3-5 Km,24.91,8.39%,,84.34,6.16%,,
Distance,Social,1-3 Km,24.95,21.57%,,84.89,19.06%,,
Distance,Social,Upto 1 Km,24.88,62.12%,,85.15,67.74%,,
,,,,,,,,,
Distance,Science,More than 5 Km,24.93,7.75%,,85.01,7.35%,,
Distance,Science,3-5 Km,25.07,8.69%,,85.38,5.88%,,
Distance,Science,1-3 Km,24.93,21.22%,,85.01,19.12%,,
Distance,Science,Upto 1 Km,24.74,62.33%,,84.89,67.65%,,
,,,,,,,,,
GiveHW,Science,Everyday,24.70,51.48%,,84.73,58.21%,,
GiveHW,Science,3-4 times a week,25.17,18.19%,,85.22,19.59%,,
GiveHW,Science,1-2 times a week,25.34,19.22%,,84.96,16.28%,,
GiveHW,Science,Never,24.13,11.11%,,86.90,5.93%,,
,,,,,,,,,
GiveHW,Social,Everyday,24.83,48.42%,,85.16,59.38%,,
GiveHW,Social,3-4 times a week,25.02,16.26%,,85.20,18.77%,,
GiveHW,Social,1-2 times a week,25.31,20.47%,,84.94,14.22%,,
GiveHW,Social,Never,24.47,14.85%,,84.09,7.62%,,
,,,,,,,,,
GiveHW,Maths,Everyday,23.17,63.62%,,87.03,70.96%,,
GiveHW,Maths,3-4 times a week,23.28,16.59%,,86.83,16.02%,,
GiveHW,Maths,1-2 times a week,23.32,12.00%,,86.12,6.65%,,
GiveHW,Maths,Never,22.34,7.78%,,87.01,6.37%,,
,,,,,,,,,
GiveHW,Reading,Everyday,21.41,60.78%,,87.06,49.42%,,
GiveHW,Reading,3-4 times a week,21.77,17.26%,,87.30,22.29%,,
GiveHW,Reading,1-2 times a week,22.05,14.90%,,87.71,24.22%,,
GiveHW,Reading,Never,21.34,7.07%,,87.52,4.07%,,
,,,,,,,,,
CorrectHW,Reading,Everyday,21.41,51.86%,,86.98,40.45%,,
CorrectHW,Reading,3-4 times a week,21.63,19.56%,,87.22,21.84%,,
CorrectHW,Reading,1-2 times a week,22.01,20.94%,,87.74,32.73%,,
CorrectHW,Reading,Never,21.63,7.65%,,87.56,4.98%,,
,,,,,,,,,
CorrectHW,Maths,Everyday,23.13,51.06%,,87.02,63.59%,,
CorrectHW,Maths,3-4 times a week,23.36,19.31%,,86.94,17.51%,,
CorrectHW,Maths,1-2 times a week,23.29,19.96%,,86.04,11.56%,,
